run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	bam_ftp
ERR13337950	PRJEB77087	SAMEA115792459	ERX12708924	506599	bovine gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/050/ERR13337950/ERR13337950_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/050/ERR13337950/ERR13337950_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337950/38_S38_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337950/38_S38_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/050/ERR13337950/ERR13337950.bam
ERR13337951	PRJEB77087	SAMEA115792460	ERX12708925	506599	bovine gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/051/ERR13337951/ERR13337951_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/051/ERR13337951/ERR13337951_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337951/39_S39_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337951/39_S39_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/051/ERR13337951/ERR13337951.bam
ERR13337952	PRJEB77087	SAMEA115792424	ERX12708926	506599	bovine gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/052/ERR13337952/ERR13337952_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/052/ERR13337952/ERR13337952_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337952/3_S3_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337952/3_S3_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/052/ERR13337952/ERR13337952.bam
ERR13337953	PRJEB77087	SAMEA115792461	ERX12708927	506599	bovine gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/053/ERR13337953/ERR13337953_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/053/ERR13337953/ERR13337953_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337953/40_S40_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337953/40_S40_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/053/ERR13337953/ERR13337953.bam
ERR13337954	PRJEB77087	SAMEA115792462	ERX12708928	506599	bovine gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/054/ERR13337954/ERR13337954_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/054/ERR13337954/ERR13337954_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337954/41_S41_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337954/41_S41_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/054/ERR13337954/ERR13337954.bam
ERR13337955	PRJEB77087	SAMEA115792463	ERX12708929	506599	bovine gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/055/ERR13337955/ERR13337955_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/055/ERR13337955/ERR13337955_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337955/42_S42_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337955/42_S42_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/055/ERR13337955/ERR13337955.bam
ERR13337958	PRJEB77087	SAMEA115792466	ERX12708932	506599	bovine gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/058/ERR13337958/ERR13337958_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/058/ERR13337958/ERR13337958_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337958/45_S45_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337958/45_S45_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/058/ERR13337958/ERR13337958.bam
ERR13337961	PRJEB77087	SAMEA115792469	ERX12708935	506599	bovine gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/061/ERR13337961/ERR13337961_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/061/ERR13337961/ERR13337961_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337961/48_S48_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337961/48_S48_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/061/ERR13337961/ERR13337961.bam
ERR13337967	PRJEB77087	SAMEA115792474	ERX12708941	506599	bovine gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/067/ERR13337967/ERR13337967_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/067/ERR13337967/ERR13337967_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337967/53_S53_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337967/53_S53_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/067/ERR13337967/ERR13337967.bam
ERR13337970	PRJEB77087	SAMEA115792477	ERX12708944	506599	bovine gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/070/ERR13337970/ERR13337970_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/070/ERR13337970/ERR13337970_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337970/56_S56_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR13337970/56_S56_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR133/070/ERR13337970/ERR13337970.bam
